               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.025101,           0.0097772,                   0,             0.56287,             0.85965,             0.67308,             0.49201,            0.027663,           0.0095852,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025889,           0.0099271,                   0,             0.49979,             0.76023,             0.55514,             0.40744,            0.029859,             0.01133,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.024831,           0.0095268,                   0,             0.53377,             0.87719,             0.69661,              0.5261,            0.027508,           0.0097353,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.024142,           0.0094916,                   0,             0.44058,             0.87719,             0.45972,              0.3366,             0.03164,            0.012972,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.023621,           0.0092397,                   0,             0.44117,             0.92332,             0.47196,             0.35009,            0.030583,            0.012513,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024211,           0.0095748,                   0,             0.46883,             0.88889,              0.5546,             0.41937,            0.030502,            0.011427,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023383,           0.0090152,                   0,             0.44209,             0.87119,             0.55177,             0.40756,            0.030815,            0.011992,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.022404,           0.0088124,                   0,             0.47528,             0.84795,             0.57729,             0.43921,            0.028218,            0.011206,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.022717,            0.009038,                   0,             0.48381,             0.79532,             0.53989,             0.40168,            0.029039,            0.012142,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.022107,           0.0080028,                   0,             0.55633,              0.7773,             0.68108,             0.50805,            0.029576,            0.010584,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,              0.0217,           0.0086418,                   0,             0.45249,             0.95322,             0.57585,             0.43645,            0.028547,            0.011093,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,             0.02129,           0.0084319,                   0,             0.49629,             0.80089,              0.5792,             0.43943,            0.027416,            0.011598,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.020565,           0.0080668,                   0,             0.47246,              0.8538,             0.56067,             0.42417,            0.028235,            0.011964,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.019953,           0.0082198,                   0,             0.42943,             0.90643,             0.46582,             0.35317,            0.030498,            0.014131,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.019393,           0.0079188,                   0,             0.56675,             0.81871,             0.70335,             0.54876,            0.026689,            0.010125,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.020322,           0.0075196,                   0,              0.5668,             0.71923,             0.62786,             0.47708,            0.028393,            0.011687,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.019632,           0.0079278,                   0,             0.47669,             0.92398,             0.62563,             0.48573,            0.029519,            0.011812,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.019405,           0.0078838,                   0,             0.52639,              0.8655,              0.6135,             0.47598,            0.026966,            0.010483,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.018969,           0.0074311,                   0,             0.47757,             0.88889,             0.52123,             0.39425,            0.028614,            0.012793,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.018442,           0.0069802,                   0,             0.50706,             0.83041,             0.56819,             0.43921,            0.028375,            0.012679,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.018441,           0.0073259,                   0,             0.53173,             0.83006,             0.63616,             0.49312,            0.028426,            0.011922,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.017016,           0.0067227,                   0,             0.59219,             0.82456,             0.71365,             0.55565,             0.02695,            0.010901,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,             0.01824,           0.0068661,                   0,             0.55285,             0.82425,             0.65616,             0.50917,            0.027085,            0.011601,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.017654,            0.006971,                   0,             0.51866,             0.87135,             0.66532,             0.52067,            0.026998,            0.011715,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.016701,           0.0065868,                   0,             0.54848,             0.85965,              0.7268,             0.57311,            0.026677,            0.010519,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.017582,           0.0069236,                   0,             0.49598,             0.90643,             0.62694,              0.4807,            0.028765,            0.012281,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.017827,           0.0071596,                   0,             0.52159,             0.77193,             0.61212,             0.47752,            0.028631,            0.012678,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.016793,           0.0065792,                   0,             0.48648,             0.85965,             0.57082,              0.4403,            0.028159,            0.013385,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.016766,           0.0070378,                   0,             0.67367,             0.74849,             0.76033,              0.6004,            0.024747,            0.010114,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.016491,           0.0066548,                   0,             0.57819,             0.77778,             0.66974,             0.52601,            0.026003,            0.011534,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.016932,           0.0064524,                   0,             0.60787,             0.78947,             0.73134,              0.5831,            0.025241,            0.010795,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.016089,           0.0062216,                   0,             0.50516,             0.83041,             0.64091,             0.49963,            0.027301,            0.012519,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.016076,           0.0065936,                   0,             0.56694,             0.76559,             0.69273,             0.54178,            0.026798,            0.011709,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.016047,           0.0061819,                   0,             0.52386,             0.82456,             0.65426,             0.51228,            0.027378,            0.012239,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.016009,           0.0063358,                   0,             0.64315,             0.74834,             0.73702,             0.57879,            0.025696,            0.010998,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.016454,            0.006482,                   0,             0.52821,             0.76023,             0.59435,             0.46841,            0.027667,            0.013117,                   0,           0.0010089,           0.0010089,           0.0010089
